wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
84:2e:27:6b:53:df,990.637398639,600,5G_U+zone,167
84:2e:27:6b:53:df,990.638745666,601,,158
84:2e:27:6b:53:df,990.960164470,646,U+zone,164
84:2e:27:6b:53:df,990.961549747,647,U+zone_5G,167
84:2e:27:6b:53:df,990.963022734,648,5G_U+zone,167
84:2e:27:6b:53:df,990.964374663,649,,158
84:2e:27:6b:53:df,990.980596494,650,U+zone,164
84:2e:27:6b:53:df,990.981943897,651,U+zone_5G,167
84:2e:27:6b:53:df,990.983420904,652,5G_U+zone,167
84:2e:27:6b:53:df,990.984797520,653,,158
3c:a0:67:85:86:1b,1009.459492712,863,,66
3c:a0:67:85:86:1b,1009.509743050,864,,66
2a:c4:fc:a8:b4:2b,1010.727116528,554,,94
2a:c4:fc:a8:b4:2b,1010.775448764,556,,94
2a:c4:fc:a8:b4:2b,1010.848148306,559,,94
2a:c4:fc:a8:b4:2b,1010.872592114,560,,94
00:f4:6f:9e:c6:eb,1023.080423730,15,,149
00:f4:6f:9e:c6:eb,1023.089141939,16,,149
00:f4:6f:9e:c6:eb,1025.122690557,38,carlynne,157
94:d7:71:fc:67:c9,1025.345589721,3956,,166
94:d7:71:fc:67:c9,1025.393885022,3957,,166
94:d7:71:fc:67:c9,1025.441442088,3958,,166
00:f4:6f:9e:c6:eb,1027.127683962,57,,149
00:f4:6f:9e:c6:eb,1027.148142096,58,,149
00:f4:6f:9e:c6:eb,1027.396632634,69,,149
00:f4:6f:9e:c6:eb,1027.528254292,75,,149
00:f4:6f:9e:c6:eb,1027.548884142,76,,149
00:f4:6f:9e:c6:eb,1027.706875817,83,,149
00:f4:6f:9e:c6:eb,1027.727189392,84,,149
94:d7:71:fc:67:c9,1030.762059147,4013,,166
94:d7:71:fc:67:c9,1031.211515086,4030,,166
94:d7:71:fc:67:c9,1031.238886994,4031,,166
18:83:31:9b:75:ad,1034.681720882,88,,157
ac:36:13:5b:00:45,1040.304817004,66,,157
ac:36:13:5b:00:45,1040.325039112,67,,157
ac:36:13:5b:00:45,1040.634706189,81,,157
ac:36:13:5b:00:45,1040.677954585,83,,157
f8:e6:1a:f1:d6:49,1043.907127207,820,T wifi zone_secure,174
f8:e6:1a:f1:d6:49,1043.913938224,821,,156
f8:e6:1a:f1:d6:49,1043.946312535,822,T wifi zone_secure,174
84:2e:27:6b:53:df,1044.332859719,9,U+zone,164
84:2e:27:6b:53:df,1044.334165215,10,U+zone_5G,167
84:2e:27:6b:53:df,1044.335809629,11,5G_U+zone,167
84:2e:27:6b:53:df,1044.337185042,12,,158
84:2e:27:6b:53:df,1044.352414550,13,U+zone,164
84:2e:27:6b:53:df,1044.353790003,14,U+zone_5G,167
84:2e:27:6b:53:df,1044.355612745,15,5G_U+zone,167
84:2e:27:6b:53:df,1044.357361410,16,,158
84:2e:27:6b:53:df,1044.585313098,57,U+zone,164
84:2e:27:6b:53:df,1044.586618605,58,U+zone_5G,167
84:2e:27:6b:53:df,1044.588287170,59,5G_U+zone,167
84:2e:27:6b:53:df,1044.589896293,60,,158
84:2e:27:6b:53:df,1044.605864628,61,U+zone,164
84:2e:27:6b:53:df,1044.607248575,62,U+zone_5G,167
84:2e:27:6b:53:df,1044.609085900,63,5G_U+zone,167
84:2e:27:6b:53:df,1044.610818733,64,,158
84:2e:27:6b:53:df,1051.007137045,188,U+zone,164
84:2e:27:6b:53:df,1051.008503427,189,U+zone_5G,167
84:2e:27:6b:53:df,1051.009917103,190,5G_U+zone,167
84:2e:27:6b:53:df,1051.011304900,191,,158
84:2e:27:6b:53:df,1051.027589826,192,U+zone,164
84:2e:27:6b:53:df,1051.029029332,193,U+zone_5G,167
84:2e:27:6b:53:df,1051.030438352,194,5G_U+zone,167
84:2e:27:6b:53:df,1051.031779647,195,,158
84:2e:27:6b:53:df,1051.406653650,243,U+zone,164
84:2e:27:6b:53:df,1051.408065572,244,U+zone_5G,167
84:2e:27:6b:53:df,1051.409585869,245,5G_U+zone,167
84:2e:27:6b:53:df,1051.411268166,246,,158
94:d7:71:fc:67:c9,1065.544332130,185,,166
94:d7:71:fc:67:c9,1065.571630403,186,,166
f8:e6:1a:f1:d6:49,1065.769502944,848,T wifi zone_secure,174
f8:e6:1a:f1:d6:49,1065.770798251,849,,156
f8:e6:1a:f1:d6:49,1065.810437458,850,T wifi zone_secure,174
f8:e6:1a:f1:d6:49,1065.811742243,851,,156
f8:e6:1a:f1:d6:49,1065.856023099,853,,156
3c:a0:67:85:86:1b,1069.952486495,900,,66
94:d7:71:fc:67:c9,1070.790543654,252,,166
94:d7:71:fc:67:c9,1070.866378416,255,,166
94:d7:71:fc:67:c9,1070.893665217,256,,166
94:d7:71:fc:67:c9,1071.341091613,273,,166
94:d7:71:fc:67:c9,1071.368462724,274,,166
6a:9a:f3:0c:cf:2d,1073.668814080,561,,94
6a:9a:f3:0c:cf:2d,1073.717804603,563,,94
6a:9a:f3:0c:cf:2d,1073.741471716,564,,94
6a:9a:f3:0c:cf:2d,1073.765949951,565,,94
6a:9a:f3:0c:cf:2d,1073.814206495,567,,94
6a:9a:f3:0c:cf:2d,1073.863158173,569,,94
84:2e:27:6b:53:df,1075.598697920,580,U+zone,164
84:2e:27:6b:53:df,1075.600125529,581,U+zone_5G,167
84:2e:27:6b:53:df,1075.609460858,584,U+zone,164
84:2e:27:6b:53:df,1075.610930729,585,U+zone_5G,167
84:2e:27:6b:53:df,1075.612317548,586,5G_U+zone,167
