,wlan.sa,wlan.ssid,ts_relative,frame.time_relative,wlan.ds.current_channel,wlan_radio.signal_dbm,wlan_radio.duration
8223,88:36:6c:67:72:ec,carlynne,2410.496,2410.526092956,1,-69,2256
8224,88:36:6c:67:72:ec,carlynne,2410.7008,2410.7308848820003,1,-47,2256
8225,88:36:6c:67:72:ec,carlynne,2410.8032,2410.8331766339998,1,-45,2256
8226,88:36:6c:67:72:ec,carlynne,2410.9056,2410.93561491,1,-47,2256
8227,88:36:6c:67:72:ec,carlynne,2411.52,2411.550093254,1,-69,2256
8228,88:36:6c:67:72:ec,carlynne,2411.6224,2411.652432986,1,-69,2256
8229,88:36:6c:67:72:ec,carlynne,2411.7248,2411.754831686,1,-69,2256
8230,88:36:6c:67:72:ec,carlynne,2411.8272,2411.857316358,1,-23,2256
8231,88:36:6c:67:72:ec,carlynne,2411.9296,2411.959713704,1,-23,2256
8232,88:36:6c:67:72:ec,carlynne,2413.6704,2413.700544282,1,-63,2256
8233,88:36:6c:67:72:ec,carlynne,2414.3872,2414.417278676,1,-53,2256
8234,88:36:6c:67:72:ec,carlynne,2414.4896,2414.5197394429997,1,-47,2256
8235,88:36:6c:67:72:ec,carlynne,2414.592,2414.622058589,1,-47,2256
8236,88:36:6c:67:72:ec,carlynne,2414.796949,2414.827091576,1,-69,2256
8237,88:36:6c:67:72:ec,carlynne,2414.8992,2414.929236013,1,-69,2256
8238,88:36:6c:67:72:ec,carlynne,2415.0016,2415.0317457339997,1,-57,2256
8239,88:36:6c:67:72:ec,carlynne,2415.2064,2415.236539529,1,-69,2256
8240,88:36:6c:67:72:ec,carlynne,2415.3088,2415.338836042,1,-71,2256
8241,88:36:6c:67:72:ec,carlynne,2415.4112,2415.441235843,1,-71,2256
8242,88:36:6c:67:72:ec,carlynne,2415.5136,2415.543680644,1,-23,2256
8243,88:36:6c:67:72:ec,carlynne,2415.616002,2415.646067832,1,-23,2256
8244,88:36:6c:67:72:ec,carlynne,2416.3328,2416.362962621,1,-23,2256
8245,88:36:6c:67:72:ec,carlynne,2416.4352,2416.465377477,1,-23,2256
8246,88:36:6c:67:72:ec,carlynne,2416.5376,2416.567755083,1,-65,2256
8247,88:36:6c:67:72:ec,carlynne,2416.64,2416.670055019,1,-65,2256
8248,88:36:6c:67:72:ec,carlynne,2417.0496,2417.079760431,1,-69,2256
8249,88:36:6c:67:72:ec,carlynne,2417.4592,2417.489364885,1,-65,2256
8250,88:36:6c:67:72:ec,carlynne,2417.9712,2418.001378517,1,-69,2256
8251,88:36:6c:67:72:ec,carlynne,2418.0736,2418.103786573,1,-69,2256
8252,88:36:6c:67:72:ec,carlynne,2418.176,2418.20617585,1,-47,2256
8253,88:36:6c:67:72:ec,carlynne,2418.2784,2418.308492259,1,-47,2256
8254,88:36:6c:67:72:ec,carlynne,2418.3808,2418.4108690079997,1,-67,2256
8255,88:36:6c:67:72:ec,carlynne,2418.9952,2419.025389073,1,-69,2256
8256,88:36:6c:67:72:ec,carlynne,2419.0976,2419.1277096020003,1,-69,2256
8257,88:36:6c:67:72:ec,carlynne,2419.2,2419.230117703,1,-21,2256
8258,88:36:6c:67:72:ec,carlynne,2419.3024,2419.33260207,1,-21,2256
8259,88:36:6c:67:72:ec,carlynne,2419.4048,2419.4350415129998,1,-23,2256
8260,88:36:6c:67:72:ec,carlynne,2419.6096,2419.639787693,1,-59,2256
8261,88:36:6c:67:72:ec,carlynne,2420.0192,2420.049419846,1,-21,2256
8262,88:36:6c:67:72:ec,carlynne,2420.1216,2420.1517142039997,1,-21,2256
8263,88:36:6c:67:72:ec,carlynne,2420.3264,2420.356620359,1,-63,2256
8264,88:36:6c:67:72:ec,carlynne,2420.736,2420.766230827,1,-25,2256
8265,88:36:6c:67:72:ec,carlynne,2421.248,2421.278164805,1,-65,2256
8266,88:36:6c:67:72:ec,carlynne,2421.9648,2421.995015603,1,-45,2256
8267,88:36:6c:67:72:ec,carlynne,2422.6816,2422.711843898,1,-69,2256
8268,88:36:6c:67:72:ec,carlynne,2422.784,2422.8141248,1,-67,2256
8269,88:36:6c:67:72:ec,carlynne,2422.8864,2422.916579839,1,-21,2256
8270,88:36:6c:67:72:ec,carlynne,2422.9888,2423.019031681,1,-21,2256
8271,88:36:6c:67:72:ec,carlynne,2423.0912,2423.1214511489998,1,-21,2256
8272,88:36:6c:67:72:ec,carlynne,2423.9104,2423.940645618,1,-23,2256
8273,88:36:6c:67:72:ec,carlynne,2424.6272,2424.657447437,1,-67,2256
8274,88:36:6c:67:72:ec,carlynne,2424.832,2424.862206437,1,-63,2256
8275,88:36:6c:67:72:ec,carlynne,2424.9344,2424.964586769,1,-65,2256
8276,88:36:6c:67:72:ec,carlynne,2425.344,2425.374272009,1,-65,2256
8277,88:36:6c:67:72:ec,carlynne,2425.548821,2425.579095989,1,-45,2256
8278,88:36:6c:67:72:ec,carlynne,2425.7536,2425.783873066,1,-45,2256
8279,88:36:6c:67:72:ec,carlynne,2426.368,2426.398271821,1,-67,2256
8280,88:36:6c:67:72:ec,carlynne,2426.4704,2426.500623767,1,-69,2256
8281,88:36:6c:67:72:ec,carlynne,2426.572921,2426.603121144,1,-71,2256
8282,88:36:6c:67:72:ec,carlynne,2426.6752,2426.705390389,1,-23,2256
8283,88:36:6c:67:72:ec,carlynne,2426.777781,2426.807980345,1,-23,2256
8284,88:36:6c:67:72:ec,carlynne,2427.4944,2427.5247143429997,1,-23,2256
8285,88:36:6c:67:72:ec,carlynne,2428.6208,2428.651103101,1,-65,2256
8286,88:36:6c:67:72:ec,carlynne,2429.2352,2429.265515081,1,-47,2256
